,,,,,year,month,day,cond,temp,snow,wind,visi,temp score,wind score,visibi score,Total Score,Outcome
,,,,,2014,6,26,Clear,60,0,4,10,1,0,0,1,Ok
,,,,,2014,7,1,Clear,60,0,4,10,1,0,0,1,Ok
,,,,,2014,7,6,Clear,63,0,3,10,1,0,0,1,Ok
,,,,,2014,7,11,Clear,72,0,2,10,1,0,0,1,Ok
,,,,,2014,7,16,Clear,63,0,3,10,1,0,0,1,Ok
,,,,,2014,7,21,Clear,63,0,3,10,1,0,0,1,Ok
,,,,,2014,7,26,Clear,67,0,2,10,1,0,0,1,Ok
,,,,,2014,8,1,Clear,67,0,2,10,1,0,0,1,Ok
,,,,,2014,8,6,Clear,70,0,1,10,1,0,0,1,Ok
,,,,,2014,8,11,Clear,67,0,3,10,1,0,0,1,Ok
,,,,,2014,8,16,Clear,70,0,1,10,1,0,0,1,Ok
,,,,,2014,8,21,Clear,70,0,1,10,1,0,0,1,Ok
,,,,,2014,8,26,Clear,68,0,2,10,1,0,0,1,Ok
,,,,,2014,9,1,Clear,68,0,2,10,1,0,0,1,Ok
,,,,,2014,9,6,Clear,58,0,3,10,1,0,0,1,Ok
,,,,,2014,9,11,Clear,64,0,3,10,1,0,0,1,Ok
,,,,,2014,9,16,Clear,58,0,3,10,1,0,0,1,Ok
,,,,,2014,9,21,Clear,58,0,3,10,1,0,0,1,Ok
,,,,,2014,9,26,Clear,62,0,3,10,1,0,0,1,Ok
,,,,,2014,10,1,Clear,62,0,3,10,1,0,0,1,Ok
,,,,,2014,10,6,Clear,24,0,1,10,0,0,0,0,Good
,,,,,2014,10,11,Clear,24,0,1,10,0,0,0,0,Good
,,,,,2014,10,16,Clear,24,0,1,10,0,0,0,0,Good
,,,,,2014,10,21,Clear,24,0,1,10,0,0,0,0,Good
,,,,,2014,10,26,Clear,24,0,1,10,0,0,0,0,Good
,,,,,2014,11,1,Clear,24,0,1,10,0,0,0,0,Good
,,,,,2014,11,6,Overcast,28,0,3,10,0,0,0,0,Good
,,,,,2014,11,11,Overcast,28,0,3,10,0,0,0,0,Good
,,,,,2014,11,16,Overcast,28,0,3,10,0,0,0,0,Good
,,,,,2014,11,21,Overcast,28,0,3,10,0,0,0,0,Good
,,,,,2014,11,26,Overcast,28,0,3,10,0,0,0,0,Good
,,,,,2014,12,1,Overcast,28,0,3,10,0,0,0,0,Good
,,,,,2014,12,6,Clear,23,0,1,10,0,0,0,0,Good
,,,,,2014,12,11,Clear,23,0,1,10,0,0,0,0,Good
,,,,,2014,12,16,Clear,23,0,1,10,0,0,0,0,Good
,,,,,2014,12,21,Clear,23,0,1,10,0,0,0,0,Good
,,,,,2014,12,26,Clear,23,0,1,10,0,0,0,0,Good
,,,,,2015,1,1,Clear,23,0,1,10,0,0,0,0,Good
,,,,,2015,1,6,Clear,1,0,1,10,1,0,0,1,Ok
,,,,,2015,1,11,Overcast,32,0,1,10,0,0,0,0,Good
,,,,,2015,1,16,Clear,1,0,1,10,1,0,0,1,Ok
,,,,,2015,1,21,Clear,1,0,1,10,1,0,0,1,Ok
,,,,,2015,1,26,Mostly Cloudy,8,0,1,10,1,0,0,1,Ok
,,,,,2015,2,1,Mostly Cloudy,8,0,1,10,1,0,0,1,Ok
,,,,,2015,2,6,Clear,29,0,1,10,0,0,0,0,Good
,,,,,2015,2,11,Clear,45,0,4,10,1,0,0,1,Ok
,,,,,2015,2,16,Clear,29,0,1,10,0,0,0,0,Good
,,,,,2015,2,21,Clear,29,0,1,10,0,0,0,0,Good
,,,,,2015,2,26,Overcast,36,0,0,10,0,0,0,0,Good
,,,,,2015,3,1,Overcast,36,0,0,10,0,0,0,0,Good
,,,,,2015,3,6,Light Snow,31,1,0,7,0,0,0,0,Good
,,,,,2015,3,11,Clear,34,0,2,10,0,0,0,0,Good
,,,,,2015,3,16,Light Snow,31,1,0,7,0,0,0,0,Good
,,,,,2015,3,21,Light Snow,31,1,0,7,0,0,0,0,Good
,,,,,2015,3,26,Mostly Cloudy,32,0,2,10,0,0,0,0,Good
,,,,,2015,4,1,Mostly Cloudy,32,0,2,10,0,0,0,0,Good
,,,,,2015,4,6,Overcast,42,0,10,10,1,1,0,2,Bad
,,,,,2015,4,11,Clear,47,0,19,10,1,1,0,2,Bad
,,,,,2015,4,16,Overcast,42,0,10,10,1,1,0,2,Bad
,,,,,2015,4,21,Overcast,42,0,10,10,1,1,0,2,Bad
,,,,,2015,4,26,Clear,32,0,6,10,0,1,0,1,Ok
,,,,,2015,5,1,Clear,32,0,6,10,0,1,0,1,Ok
,,,,,2015,5,6,Clear,56,0,3,10,1,0,0,1,Ok
,,,,,2015,5,11,Overcast,53,0,2,10,1,0,0,1,Ok
,,,,,2015,5,16,Clear,56,0,3,10,1,0,0,1,Ok
,,,,,2015,5,21,Clear,56,0,3,10,1,0,0,1,Ok
,,,,,2015,5,26,Overcast,60,0,6,10,1,1,0,2,Bad
,,,,,2015,6,1,Overcast,60,0,6,10,1,1,0,2,Bad
,,,,,2015,6,6,Clear,65,0,5,10,1,0,0,1,Ok
,,,,,2015,6,11,Clear,61,0,3,10,1,0,0,1,Ok
,,,,,2015,6,16,Clear,65,0,5,10,1,0,0,1,Ok
,,,,,2015,6,21,Clear,65,0,5,10,1,0,0,1,Ok
,,,,,2015,6,26,Clear,60,0,6,10,1,1,0,2,Bad
,,,,,2015,7,1,Clear,60,0,6,10,1,1,0,2,Bad
,,,,,2015,7,6,Overcast,78,0,4,10,1,0,0,1,Ok
,,,,,2015,7,11,Clear,68,0,2,10,1,0,0,1,Ok
,,,,,2015,7,16,Overcast,78,0,4,10,1,0,0,1,Ok
,,,,,2015,7,21,Overcast,78,0,4,10,1,0,0,1,Ok
,,,,,2015,7,26,Clear,78,0,4,10,1,0,0,1,Ok
,,,,,2015,8,1,Clear,78,0,4,10,1,0,0,1,Ok
,,,,,2015,8,6,Clear,68,0,2,10,1,0,0,1,Ok
,,,,,2015,8,11,Clear,66,0,3,10,1,0,0,1,Ok
,,,,,2015,8,16,Clear,68,0,2,10,1,0,0,1,Ok
,,,,,2015,8,21,Clear,68,0,2,10,1,0,0,1,Ok
,,,,,2015,8,26,Clear,66,0,2,10,1,0,0,1,Ok
,,,,,2015,9,1,Clear,66,0,2,10,1,0,0,1,Ok
,,,,,2015,9,6,Clear,68,0,4,10,1,0,0,1,Ok
,,,,,2015,9,11,Clear,55,0,6,10,1,1,0,2,Bad
,,,,,2015,9,16,Clear,68,0,4,10,1,0,0,1,Ok
,,,,,2015,9,21,Clear,68,0,4,10,1,0,0,1,Ok
,,,,,2015,9,26,Clear,67,0,5,10,1,0,0,1,Ok
,,,,,2015,10,1,Clear,67,0,5,10,1,0,0,1,Ok
,,,,,2015,10,6,Clear,-5,0,2,10,1,0,0,1,Ok
,,,,,2015,10,11,Clear,-5,0,2,10,1,0,0,1,Ok
,,,,,2015,10,16,Clear,-5,0,2,10,1,0,0,1,Ok
,,,,,2015,10,21,Clear,-5,0,2,10,1,0,0,1,Ok
,,,,,2015,10,26,Clear,-5,0,2,10,1,0,0,1,Ok
,,,,,2015,11,1,Clear,-5,0,2,10,1,0,0,1,Ok
,,,,,2015,11,6,Clear,30,0,1,10,0,0,0,0,Good
,,,,,2015,11,11,Clear,30,0,1,10,0,0,0,0,Good
,,,,,2015,11,16,Clear,30,0,1,10,0,0,0,0,Good
,,,,,2015,11,21,Clear,30,0,1,10,0,0,0,0,Good
,,,,,2015,11,26,Clear,30,0,1,10,0,0,0,0,Good
,,,,,2015,12,1,Clear,30,0,1,10,0,0,0,0,Good
,,,,,2015,12,6,Clear,26,0,1,4,0,0,1,1,Ok
,,,,,2015,12,11,Clear,26,0,1,4,0,0,1,1,Ok
,,,,,2015,12,16,Clear,26,0,1,4,0,0,1,1,Ok
,,,,,2015,12,21,Clear,26,0,1,4,0,0,1,1,Ok
,,,,,2015,12,26,Clear,26,0,1,4,0,0,1,1,Ok
